classifier,model_type,follow_up,missingness,roc_auc
random_forest,slopes,120,0.3,0.8911290322580645
random_forest,slopes,120,0.5,0.8891129032258065
random_forest,slopes,120,0.7,0.9153225806451613
random_forest,slopes,120,0.9,0.8064516129032258
random_forest,slopes,96,0.3,0.966796875
random_forest,slopes,96,0.5,0.943359375
random_forest,slopes,96,0.7,0.931640625
random_forest,slopes,96,0.9,0.7890625
random_forest,slopes,72,0.3,0.9375
random_forest,slopes,72,0.5,0.9182692307692308
random_forest,slopes,72,0.7,0.889423076923077
random_forest,slopes,72,0.9,0.8461538461538461
random_forest,slopes,48,0.3,0.7619047619047619
random_forest,slopes,48,0.5,0.8095238095238095
random_forest,slopes,48,0.7,0.7619047619047619
random_forest,slopes,48,0.9,0.38095238095238093
random_forest,slopes,24,0.3,
random_forest,slopes,24,0.5,
random_forest,slopes,24,0.7,
random_forest,slopes,24,0.9,
random_forest,slopes,12,0.3,
random_forest,slopes,12,0.5,
random_forest,slopes,12,0.7,
random_forest,slopes,12,0.9,
random_forest,slopes+intercepts,120,0.3,0.9112903225806452
random_forest,slopes+intercepts,120,0.5,0.9173387096774194
random_forest,slopes+intercepts,120,0.7,0.9314516129032258
random_forest,slopes+intercepts,120,0.9,0.8568548387096774
random_forest,slopes+intercepts,96,0.3,0.95703125
random_forest,slopes+intercepts,96,0.5,0.93359375
random_forest,slopes+intercepts,96,0.7,0.92578125
random_forest,slopes+intercepts,96,0.9,0.806640625
random_forest,slopes+intercepts,72,0.3,0.9350961538461539
random_forest,slopes+intercepts,72,0.5,0.90625
random_forest,slopes+intercepts,72,0.7,0.875
random_forest,slopes+intercepts,72,0.9,0.8341346153846154
random_forest,slopes+intercepts,48,0.3,0.8571428571428571
random_forest,slopes+intercepts,48,0.5,0.9047619047619048
random_forest,slopes+intercepts,48,0.7,0.7142857142857142
random_forest,slopes+intercepts,48,0.9,0.4285714285714286
random_forest,slopes+intercepts,24,0.3,
random_forest,slopes+intercepts,24,0.5,
random_forest,slopes+intercepts,24,0.7,
random_forest,slopes+intercepts,24,0.9,
random_forest,slopes+intercepts,12,0.3,
random_forest,slopes+intercepts,12,0.5,
random_forest,slopes+intercepts,12,0.7,
random_forest,slopes+intercepts,12,0.9,
xgboost,slopes,120,0.3,0.8891129032258065
xgboost,slopes,120,0.5,0.875
xgboost,slopes,120,0.7,0.9173387096774194
xgboost,slopes,120,0.9,0.7681451612903225
xgboost,slopes,96,0.3,0.97265625
xgboost,slopes,96,0.5,0.953125
xgboost,slopes,96,0.7,0.919921875
xgboost,slopes,96,0.9,0.763671875
xgboost,slopes,72,0.3,0.9110576923076923
xgboost,slopes,72,0.5,0.8485576923076923
xgboost,slopes,72,0.7,0.8293269230769231
xgboost,slopes,72,0.9,0.8293269230769231
xgboost,slopes,48,0.3,0.9047619047619049
xgboost,slopes,48,0.5,0.8095238095238095
xgboost,slopes,48,0.7,0.7619047619047619
xgboost,slopes,48,0.9,0.47619047619047616
xgboost,slopes,24,0.3,
xgboost,slopes,24,0.5,
xgboost,slopes,24,0.7,
xgboost,slopes,24,0.9,
xgboost,slopes,12,0.3,
xgboost,slopes,12,0.5,
xgboost,slopes,12,0.7,
xgboost,slopes,12,0.9,
xgboost,slopes+intercepts,120,0.3,0.9012096774193548
xgboost,slopes+intercepts,120,0.5,0.9133064516129031
xgboost,slopes+intercepts,120,0.7,0.9092741935483871
xgboost,slopes+intercepts,120,0.9,0.8366935483870968
xgboost,slopes+intercepts,96,0.3,0.955078125
xgboost,slopes+intercepts,96,0.5,0.919921875
xgboost,slopes+intercepts,96,0.7,0.912109375
xgboost,slopes+intercepts,96,0.9,0.74609375
xgboost,slopes+intercepts,72,0.3,0.8725961538461539
xgboost,slopes+intercepts,72,0.5,0.8100961538461537
xgboost,slopes+intercepts,72,0.7,0.7620192307692307
xgboost,slopes+intercepts,72,0.9,0.8269230769230769
xgboost,slopes+intercepts,48,0.3,0.8571428571428571
xgboost,slopes+intercepts,48,0.5,0.8571428571428572
xgboost,slopes+intercepts,48,0.7,0.6190476190476191
xgboost,slopes+intercepts,48,0.9,0.38095238095238093
xgboost,slopes+intercepts,24,0.3,
xgboost,slopes+intercepts,24,0.5,
xgboost,slopes+intercepts,24,0.7,
xgboost,slopes+intercepts,24,0.9,
xgboost,slopes+intercepts,12,0.3,
xgboost,slopes+intercepts,12,0.5,
xgboost,slopes+intercepts,12,0.7,
xgboost,slopes+intercepts,12,0.9,
logistic_regression,slopes,120,0.3,0.9314516129032259
logistic_regression,slopes,120,0.5,0.8951612903225806
logistic_regression,slopes,120,0.7,0.9294354838709677
logistic_regression,slopes,120,0.9,0.7600806451612904
logistic_regression,slopes,96,0.3,0.990234375
logistic_regression,slopes,96,0.5,0.97265625
logistic_regression,slopes,96,0.7,0.923828125
logistic_regression,slopes,96,0.9,0.7265625
logistic_regression,slopes,72,0.3,0.9495192307692307
logistic_regression,slopes,72,0.5,0.9375
logistic_regression,slopes,72,0.7,0.8629807692307692
logistic_regression,slopes,72,0.9,0.8173076923076923
logistic_regression,slopes,48,0.3,0.8571428571428572
logistic_regression,slopes,48,0.5,0.9047619047619049
logistic_regression,slopes,48,0.7,0.8571428571428572
logistic_regression,slopes,48,0.9,0.4285714285714286
logistic_regression,slopes,24,0.3,
logistic_regression,slopes,24,0.5,
logistic_regression,slopes,24,0.7,
logistic_regression,slopes,24,0.9,
logistic_regression,slopes,12,0.3,
logistic_regression,slopes,12,0.5,
logistic_regression,slopes,12,0.7,
logistic_regression,slopes,12,0.9,
logistic_regression,slopes+intercepts,120,0.3,0.9475806451612904
logistic_regression,slopes+intercepts,120,0.5,0.9334677419354838
logistic_regression,slopes+intercepts,120,0.7,0.9213709677419354
logistic_regression,slopes+intercepts,120,0.9,0.7903225806451614
logistic_regression,slopes+intercepts,96,0.3,0.97265625
logistic_regression,slopes+intercepts,96,0.5,0.943359375
logistic_regression,slopes+intercepts,96,0.7,0.92578125
logistic_regression,slopes+intercepts,96,0.9,0.734375
logistic_regression,slopes+intercepts,72,0.3,0.9278846153846154
logistic_regression,slopes+intercepts,72,0.5,0.9158653846153846
logistic_regression,slopes+intercepts,72,0.7,0.846153846153846
logistic_regression,slopes+intercepts,72,0.9,0.8197115384615383
logistic_regression,slopes+intercepts,48,0.3,0.9047619047619048
logistic_regression,slopes+intercepts,48,0.5,0.9047619047619048
logistic_regression,slopes+intercepts,48,0.7,0.9047619047619048
logistic_regression,slopes+intercepts,48,0.9,0.38095238095238093
logistic_regression,slopes+intercepts,24,0.3,
logistic_regression,slopes+intercepts,24,0.5,
logistic_regression,slopes+intercepts,24,0.7,
logistic_regression,slopes+intercepts,24,0.9,
logistic_regression,slopes+intercepts,12,0.3,
logistic_regression,slopes+intercepts,12,0.5,
logistic_regression,slopes+intercepts,12,0.7,
logistic_regression,slopes+intercepts,12,0.9,
