classifier,model_type,age,sex,n_patients,roc_auc,ci_lo,ci_hi,ci_mean
random_forest,slopes,all,all,409,0.9424364663170633,0.9029240889630281,0.9742372402441346,0.9432288156155785
random_forest,slopes,all,0,136,0.946551724137931,0.8839267113095239,0.9929378531073446,0.9481641762259854
random_forest,slopes,all,1,273,0.9330289193302892,0.8768379088700139,0.9740467278684883,0.9332133473594708
random_forest,slopes,young,all,195,0.8407643312101911,0.700313118552351,0.949137307902227,0.8392579364752535
random_forest,slopes,young,0,75,0.9864864864864865,0.9487179487179487,1.0,0.9860242748868939
random_forest,slopes,young,1,120,0.792029887920299,0.5899350649350652,0.9496553362573099,0.7949237883852518
random_forest,slopes,old,all,214,0.9765580331618068,0.9578375467727712,0.9911883738367221,0.9764944341770226
random_forest,slopes,old,0,61,0.956989247311828,0.8848426573426574,1.0,0.957513254070673
random_forest,slopes,old,1,153,0.9763213530655391,0.9549675371283898,0.9929124451974707,0.9766647970947406
random_forest,slopes+intercepts,all,all,409,0.9430818878580073,0.9021047851255221,0.9774230510312206,0.9438966385769557
random_forest,slopes+intercepts,all,0,136,0.943103448275862,0.8771822244081249,0.9942082726579294,0.9448467108308939
random_forest,slopes+intercepts,all,1,273,0.9339590732284797,0.8772623928039575,0.9751987980008218,0.9343435738418605
random_forest,slopes+intercepts,young,all,195,0.8280254777070064,0.6765405020703934,0.9423603556830168,0.8256128276926357
random_forest,slopes+intercepts,young,0,75,0.9763513513513514,0.9206349206349207,1.0,0.9754041595693539
random_forest,slopes+intercepts,young,1,120,0.7521793275217933,0.5569599681830025,0.9255562096633525,0.7542832557286118
random_forest,slopes+intercepts,old,all,214,0.979874213836478,0.9633444306588879,0.9924294682631986,0.9797692331711861
random_forest,slopes+intercepts,old,0,61,0.9543010752688172,0.8730076058201058,1.0,0.9551776630428269
random_forest,slopes+intercepts,old,1,153,0.9775898520084567,0.9564447822764051,0.9935009303021879,0.9778876487506455
xgboost,slopes,all,all,409,0.9406615570794674,0.9042233972967471,0.9702584478607497,0.9411705217138928
xgboost,slopes,all,0,136,0.9379310344827586,0.8785905985686403,0.9854098999672148,0.9393257562747166
xgboost,slopes,all,1,273,0.9278707931675968,0.8773755839621001,0.9697795858041363,0.928406660161596
xgboost,slopes,young,all,195,0.82936640965471,0.6921879607735903,0.9451953610489685,0.8293496013850661
xgboost,slopes,young,0,75,0.9358108108108107,0.8332442067736185,1.0,0.9336581043358639
xgboost,slopes,young,1,120,0.8044831880448319,0.6400293360220616,0.9389875655889547,0.805982362517474
xgboost,slopes,old,all,214,0.9684391080617496,0.9455480926017787,0.9858751095770326,0.9685203875085813
xgboost,slopes,old,0,61,0.9274193548387097,0.8333128078817734,0.9950813035942346,0.9277574666024223
xgboost,slopes,old,1,153,0.9744186046511628,0.9508499262536874,0.992881339527681,0.9749267813961396
xgboost,slopes+intercepts,all,all,409,0.9493747478822107,0.913119045709346,0.9797247508239244,0.9499425482465015
xgboost,slopes+intercepts,all,0,136,0.935344827586207,0.8684035821535822,0.990104387358757,0.9368097250181799
xgboost,slopes+intercepts,all,1,273,0.930492135971588,0.8757404970760234,0.9716768394860702,0.9306696757515734
xgboost,slopes+intercepts,young,all,195,0.8196446530338585,0.6763273411371238,0.9384720711366034,0.8179977916680006
xgboost,slopes+intercepts,young,0,75,0.9121621621621621,0.7499285714285715,1.0,0.9079096520440293
xgboost,slopes+intercepts,young,1,120,0.8044831880448318,0.6307513914656774,0.9386603599773243,0.80761136820885
xgboost,slopes+intercepts,old,all,214,0.9723270440251572,0.9513295346628681,0.9879323962329745,0.9722295398047636
xgboost,slopes+intercepts,old,0,61,0.9166666666666667,0.8104575163398693,0.9857142857142857,0.9164306292147791
xgboost,slopes+intercepts,old,1,153,0.9710359408033826,0.9464041297642215,0.9909740583142839,0.9715966085038594
logistic_regression,slopes,all,all,409,0.8913674868898749,0.8326155846496962,0.9449665371504272,0.8924534482005116
logistic_regression,slopes,all,0,136,0.9060344827586209,0.8273524720893142,0.9700979598205,0.9062916303656655
logistic_regression,slopes,all,1,273,0.8838998816167766,0.8167516877636813,0.9401596191976033,0.8853338862439397
logistic_regression,slopes,young,all,195,0.7147167281260476,0.5534992283950618,0.8747549063125125,0.71502416420303
logistic_regression,slopes,young,0,75,0.9391891891891891,0.839919191919192,1.0,0.9383693319233893
logistic_regression,slopes,young,1,120,0.4533001245330012,0.23395026408450714,0.6818165204678361,0.4505424680047943
logistic_regression,slopes,old,all,214,0.9236134934248141,0.8648414434117003,0.969329923862115,0.9236245771428637
logistic_regression,slopes,old,0,61,0.8790322580645161,0.7422011494252875,0.9846305418719212,0.8795450751580464
logistic_regression,slopes,old,1,153,0.9543340380549683,0.903776779268661,0.9895163344157597,0.9544238615953097
logistic_regression,slopes+intercepts,all,all,409,0.8869705526421945,0.8320329026631422,0.9372054735168409,0.8880655654026854
logistic_regression,slopes+intercepts,all,0,136,0.890948275862069,0.7803206912878787,0.973639239856189,0.8904199071445209
logistic_regression,slopes+intercepts,all,1,273,0.8573482157957044,0.7875818326590993,0.9187861917992449,0.8589515454409932
logistic_regression,slopes+intercepts,young,all,195,0.6714716728126047,0.5152846755607493,0.823192001049425,0.6691510977995461
logistic_regression,slopes+intercepts,young,0,75,0.9797297297297297,0.9364870509607351,1.0,0.9799464497165398
logistic_regression,slopes+intercepts,young,1,120,0.4533001245330012,0.25046382189239336,0.6661537882966453,0.4514580861211907
logistic_regression,slopes+intercepts,old,all,214,0.9232704402515723,0.8692376442806944,0.9668302233323538,0.9227177139080963
logistic_regression,slopes+intercepts,old,0,61,0.7983870967741935,0.6221408279220778,0.9458180558665472,0.7993991359883397
logistic_regression,slopes+intercepts,old,1,153,0.9346723044397464,0.8798918894156988,0.9774827709050403,0.9347341543348897
